ID,Raw file,Annotated file,Build,Role,Package,Workflow,Capture method,Caption
S00,00-first-launch-splash.png,00-first-launch-splash-annotated.png,1.5.7,manager,base Bar,installation and product identity,isolated first-launch capture,Fictional first-launch screen showing the product identity and connection check.
S01,01-bar-workspace-sell.png,01-bar-workspace-sell-annotated.png,1.5.7,cashier,base Bar,Sell and counter basket,current HposTerminal with fictional IPC fixture,Populated Sell screen with fictional River Lager and Classic Gin & Tonic basket.
S02,02-products-catalogue.png,02-products-catalogue-annotated.png,1.5.7,manager,base Bar,Products and availability,current HposMenu with fictional IPC fixture,Products screen with names prices categories and availability.
S03,03-service-stock.png,03-service-stock-annotated.png,1.5.7,stock manager,base Bar,Stock delivery and counts,current HposStock with fictional IPC fixture,Service stock table with counted units reorder points and actions.
S04,04-cash-and-close.png,04-cash-and-close-annotated.png,1.5.7,manager,base Bar,Cash & close,current HposCashClose with fictional IPC fixture,Cash-up view with expected counted and variance context.
S05,05-open-tabs.png,05-open-tabs-annotated.png,1.5.7,manager,base Bar,Open tabs,current HposOpenChecks with fictional IPC fixture,Open tab list with owner search and tab actions.
S06,06-manage-workspace.png,06-manage-workspace-annotated.png,1.5.7,manager,base Bar plus included packages,Manage workspace,current HposManageHub with fictional IPC fixture,Manage workspace with visible Bar and package workspaces.
S07,07-opening-shift.png,07-opening-shift-annotated.png,1.5.7,cashier,base Bar,Opening cash float,current HposMyShift with fictional IPC fixture,Start your shift with Opening cash float and Start my shift.
S08,08-till-unlock.png,08-till-unlock-annotated.png,1.5.7,cashier,base Bar,Shared Till unlock,current HposTillOperatorDialog with fictional staff,Who is taking this order? with staff selector PIN keypad and Unlock Till.
S09,09-payment-panel.png,09-payment-panel-annotated.png,1.5.7,cashier,base Bar,Payment tender,current HposTerminal with fictional basket and Cash tender,Collect Cash panel with displayed total and tender breakdown.
S10,10-sales-report.png,10-sales-report-annotated.png,1.5.7,manager,base Bar,Sales filters and receipt history,current HposReports with fictional order,Sales report filters and completed receipt row.
S11,11-customers-loyalty.png,11-customers-loyalty-annotated.png,1.5.7,manager,Growth & Multi-outlet,Customers & loyalty,current HposCustomers with fictional customer,Customers & loyalty list with fictional Naledi M. record.
S12,12-expense-register.png,12-expense-register-annotated.png,1.5.7,finance,Accounting & Workforce,Daily expense,current HposExpenses with fictional expense,Expense register with fictional Ice delivery entry.
S13,13-split-dialog.png,13-split-dialog-annotated.png,1.5.7,manager,base Bar,Split tab,cropped dialog element from current HposOpenChecks with fictional tab,Split dialog with Number of checks and Split checks.
S14,14-transfer-waiter.png,14-transfer-waiter-annotated.png,1.5.7,manager,base Bar,Transfer tab,cropped dialog element from current HposOpenChecks with fictional staff,Transfer waiter dialog scoped to active waiter for this outlet.
S15,15-tab-recovery-inbox.png,15-tab-recovery-inbox-annotated.png,1.5.7,manager,base Bar,Interrupted tab action,repository recovery harness with fictional state,Unresolved tab work with Check status Retry original and corrected-attempt choices.
S17,17-completed-receipt.png,17-completed-receipt-annotated.png,1.5.7,cashier,base Bar,Completed sale and receipt,current HposTerminal POSReceipt dialog element crop with fictional completed response,Completed-sale POS Receipt overlay with Receipt No, item prices, receipt items, Total Amount and Print receipt.
S18,18-sale-detail-reprint.png,18-sale-detail-reprint-annotated.png,1.5.7,cashier,base Bar,Previous sale lookup,current HposMySales with cashier fixture,Receipt detail with receipt number items tender and total; current historical detail has no separate print button.
S19,19-sale-correction-request.png,19-sale-correction-request-annotated.png,1.5.7,cashier,base Bar,Sale correction request,current HposReports correction mode with cashier fixture,Request supervisor correction with Reason template Reason and detail Authorised approver PIN and Ask approver to confirm.
S20,20-product-edit.png,20-product-edit-annotated.png,1.5.7,manager,base Bar,Product edit form,current HposStock product edit with fictional River Lager,Edit sellable item with product name category price availability and stock relationship controls.
S21,21-stock-delivery.png,21-stock-delivery-annotated.png,1.5.7,stock manager,base Bar,Stock delivery form,current HposStock cropped delivery dialog with fictional delivery,Delivery form with item lookup quantity reason batch note and Receive delivery.
S22,22-stock-count.png,22-stock-count-annotated.png,1.5.7,stock manager,base Bar,Individual stock count form,current HposStock task-focused crop from the count dialog with fictional River Lager,Task-focused single-item count controls with Physical quantity on hand, Reason category, Count note / reference and Post count.
S23,23-operator-cashup.png,23-operator-cashup-annotated.png,1.5.7,cashier,base Bar,Operator cash-up,current HposMyCashup with cashier fixture,My cash-up with Physical cash counted (P) Cash-up note optional and Submit cash-up for review.
S24,24-manager-cashup-review.png,24-manager-cashup-review-annotated.png,1.5.7,manager,base Bar,Manager cash-up review,current HposCashClose with fictional submitted operator,Expected cash Counted cash Variance Cash-up evidence and review controls.
S25,25-manager-cashup-approval.png,25-manager-cashup-approval-annotated.png,1.5.7,manager,base Bar,Manager cash-up approval,current HposCashClose approval dialog with fictional submission,Manager PIN and exact Return for correction or Approve & close shift controls.
S26,26-count-all.png,26-count-all-annotated.png,1.5.7,stock manager,base Bar,Count All form,current HposStock cropped Review Count All dialog with fictional server-certified stock read,Review Count All with explicit Physical fields, Batch note and Post Count All.
